city,lat,long
Karachi,25.1933895,66.5949466
Lahore,31.5195822,74.326297
Islamabad,33.6844,73.0479
Peshawar,34.0123846,71.5787458
Sialkot,32.483611,74.40231
Faisalabad,31.4220558,73.0923253
Gujranwala,32.1525312,74.1933745
Quetta,30.1800523,66.8786005
Gujrat,32.5834797,74.06966729
Sheikhupura,31.71307025,73.98071524
MULTAN,30.197721,71.4736279
Sargodha,32.0549408,72.6269924
Sahiwal,31.9775843,72.3294499
Hyderabad,30.48785725,72.23900643
NAROWAL,32.1009752,74.872238
Kasur,31.1175143,74.4478314
Nowshera,34.0155606,71.981283
Jhang,31.2860253,72.3416628
Bahawalpur,29.3491734,71.7237228
Rajanpur,29.1020631,70.3146867
Chichawatni,30.531691,72.6914049
Okara,30.80528,73.4442836
Abbottabad,34.1436589,73.2139122
Lodhran,29.5390395,71.6344196
Chishtian,29.79365915,72.85727817
Khanewal,30.2949767,71.9010393
Hafizabad,32.0772187,73.6937128
Bahawalnagar,29.9935922,73.2527621
Muzaffarabad,34.3417688,73.5048909
Bhakkar,33.2853361,73.1698094
Pakpattan,30.3422503,73.3891875
Layyah,30.964868,70.9455995
Kashmore,28.4516338,69.5537412
Wazirabad,27.860822,68.7095951
Phalia,32.4288977,73.5646573
Larkana,27.5564798,68.2101509
Arifwala,30.2921686,73.07371861
Jaranwala,31.3330181,73.4183387
Umarkot,25.3655302,69.7401257
Shikarpur,29.1659087,70.4358732
Mehar,27.17974,67.8227579
Depalpur,30.6691771,73.6513733
Sadiqabad,28.3069858,70.0953596
Khanpur,32.9454741,73.7954318
Khairpur,27.5202411,68.7118912
Dadu,26.7321366,67.7718334
Mehrabpur,27.1018685,68.4171295
Moro,27.294389,66.9186176
